u,g,r,i,z,cluster
24.74405,21.51914,19.52725,18.79339,18.36028,2
24.74932,21.66705,19.9439,18.15686,17.03465,2
25.77447,23.9128,21.48319,20.45663,19.45151,1
22.8684,21.985,20.27071,19.35575,18.91066,2
23.87697,23.09066,23.04667,21.63417,21.89132,1
23.93599,21.02305,19.22767,18.55338,18.15345,2
20.7041,18.59262,17.32809,16.83569,16.46256,0
24.05469,22.55625,20.63247,19.68874,19.08049,1
19.33845,17.81016,17.11678,16.86368,16.67409,0
26.75821,25.50723,22.25951,20.38431,19.53449,1
18.5955,16.42055,15.5148,15.1446,14.94297,0
21.63294,20.07986,18.56952,17.95775,17.56977,2
24.71086,22.89915,21.39739,20.03935,19.48818,1
23.78331,22.46512,20.60026,19.52665,19.11168,1
25.89417,23.1729,21.45626,20.34622,20.51959,1
20.44116,20.47853,20.29613,20.21991,20.18352,2
22.84281,21.3584,20.1753,18.84956,18.09308,2
23.86625,21.05095,19.26387,18.59569,18.16427,2
22.43788,22.46709,21.98938,21.21645,20.91148,1
23.22355,23.08869,22.71782,21.64397,21.69347,1
23.96031,22.34185,20.31335,19.17839,18.4625,2
22.36471,21.47147,20.36732,19.55733,19.23232,2
21.42282,21.20044,20.89847,20.684,20.75372,1
21.35,21.12025,20.84863,20.82622,20.64373,1
20.6511,20.34885,20.66148,20.75394,20.34022,2
21.84937,21.49716,21.56525,21.30729,21.05244,1
23.07471,23.03132,21.29062,20.02984,19.29469,1
18.73357,17.50256,17.43145,17.45313,17.51633,0
18.27873,18.04299,18.00579,17.77284,17.74077,0
19.50768,18.54116,18.21489,18.09469,18.06274,0
20.45644,19.40247,19.22966,19.00411,18.94836,2
21.08681,19.18285,18.35283,18.03835,17.86735,2
24.02117,21.46331,21.03024,20.92729,22.12397,1
24.0952,20.31623,18.80997,18.13317,17.78193,2
19.99436,20.0498,19.84783,19.83564,19.83129,2
20.005,18.60886,17.91831,17.60529,17.42836,0
22.10647,20.72721,18.89903,18.29504,17.93358,2
23.77229,21.89825,20.51154,19.54875,18.98953,1
17.90615,16.47935,15.86209,15.53426,15.30242,0
23.83416,21.94553,20.46662,19.48791,19.14215,1
19.86382,17.85434,16.67076,16.17833,15.77849,0
21.08365,19.01476,17.72071,17.19524,16.88176,0
22.23119,21.56192,20.46908,19.67317,19.13294,2
20.29091,18.96168,18.4421,18.23082,18.13345,2
24.8471,20.67775,18.91112,18.23727,17.86074,2
22.12416,21.49712,20.90676,20.3794,19.75032,1
24.82508,22.05564,20.40387,19.52285,19.15512,1
23.67463,22.36559,21.11793,20.05495,19.4135,1
19.28432,17.73631,16.98546,16.52043,16.16307,0
22.95708,21.95754,21.74296,21.46263,22.43711,1
18.91782,17.79582,17.34079,16.93935,16.82496,0
21.19705,20.61952,20.64665,20.58203,20.5596,1
22.22516,22.0924,22.07282,22.11694,21.64998,1
24.05653,24.07821,22.22253,20.68168,19.79992,1
25.73076,21.82011,20.26291,19.36168,18.96098,1
26.36,21.29234,19.91363,18.83651,18.304,2
23.64541,22.49856,21.20423,20.68627,20.53311,1
18.38569,16.67986,16.08798,15.82433,15.66921,0
18.82683,16.97751,16.10406,15.67834,15.33868,0
22.29451,19.67038,18.16837,17.64174,17.31161,2
21.73287,21.14901,21.14057,20.80718,20.87962,1
20.39901,18.59985,17.67891,17.26469,16.94553,0
24.14066,21.65608,19.44619,18.61998,18.28227,2
21.87145,21.50165,21.24982,21.10208,20.65269,1
19.1358,18.36379,18.05308,17.95154,17.82913,0
20.24292,17.84017,16.86264,16.55452,16.35117,0
25.83382,22.15932,20.82082,19.66776,19.28155,1
20.21622,20.0402,19.92055,19.69538,19.63369,2
22.83192,21.81583,20.65909,19.82159,19.53565,1
21.6051,21.31441,21.15834,21.11457,20.7947,1
19.083,17.31173,16.34124,15.89388,15.54569,0
21.65936,21.73216,21.61713,21.60229,21.24192,1
20.08557,18.00399,16.94083,16.48699,16.12197,0
22.91598,20.41584,19.32205,18.75713,18.4416,2
25.47923,19.43308,18.02991,17.48858,17.04257,2
20.25413,18.60839,17.52331,17.01041,16.61413,0
24.84868,24.04676,22.09739,20.60628,19.75075,1
19.55503,19.73913,20.22448,20.50168,21.02576,2
21.47631,19.84221,18.31993,17.68326,17.23949,2
23.33661,21.75738,20.50315,19.63479,19.05003,2
19.08912,18.28364,17.88949,17.54117,17.49269,0
21.11194,18.94256,17.86305,17.43581,17.03117,0
22.95893,23.58431,21.14839,19.87926,19.41232,1
20.11908,19.22902,18.86354,18.74583,18.65113,2
18.13778,16.63213,16.09809,15.90779,15.85413,0
20.77979,20.51428,20.39233,20.61745,20.56109,2
23.04627,23.89213,21.70734,20.57463,19.88423,1
24.49026,21.88939,20.32363,18.34677,17.29135,2
21.65318,19.04169,17.59227,16.06982,15.24124,0
15.61909,14.37402,13.99044,13.86217,13.88116,0
21.31408,20.66602,20.52959,20.41871,20.17439,2
19.00947,16.92179,15.93966,15.51602,15.17435,0
20.74211,20.3667,20.24445,20.30468,20.16307,2
23.9642,21.61476,21.51736,21.98374,21.34938,1
25.47325,22.12827,20.41309,19.38571,18.9256,1
21.05213,18.82649,17.77831,17.36893,17.14161,0
23.08392,21.32463,21.36893,21.33019,21.74482,1
20.39478,19.68193,19.8061,19.7469,19.4838,2
22.2772,19.8924,18.23232,17.63925,17.22047,2
20.8393,20.73327,20.3859,20.20456,20.15107,2
21.88787,21.06593,19.91219,19.21588,18.73591,2
22.99511,22.18264,20.5158,19.5907,19.11556,1
23.22614,21.36477,21.02569,20.95199,20.69711,1
22.39342,21.93654,20.29444,19.33291,18.89396,2
20.4795,19.41359,19.12983,19.01669,18.93938,2
23.98405,22.04563,21.74306,21.65617,21.42245,1
22.68576,21.2035,20.08468,19.255,18.79613,2
22.8812,21.16904,19.87683,19.09233,18.56408,2
17.95819,17.02071,16.71356,16.56499,16.54563,0
22.03993,21.56426,21.03746,20.79304,21.12589,1
22.55017,22.70397,21.31632,20.20308,19.5511,1
23.25363,21.99751,20.7251,19.95498,19.81846,1
22.08559,22.12502,21.93233,22.07774,22.3023,1
21.17256,19.26055,17.87883,17.36538,17.00817,0
26.18249,21.90182,20.05284,19.15505,18.69659,1
22.82705,21.79862,20.80882,19.54377,18.91029,2
22.72013,20.16176,18.62503,18.05574,17.67922,2
19.9643,18.30325,17.57546,17.28566,17.12218,0
23.1111,21.74712,20.05306,18.90655,18.24501,2
24.26253,21.04375,19.35574,18.64601,18.40168,2
20.49798,18.42043,17.2672,16.78959,16.4293,0
19.78834,17.89424,16.82309,16.37843,16.00053,0
25.61731,20.63339,20.2002,19.76672,19.61244,1
21.82808,21.52496,21.27693,21.19839,20.72532,1
19.51019,17.66542,16.82348,16.50728,16.30834,0
20.48724,20.16544,19.91912,19.7141,20.01202,2
22.40871,21.43123,21.25467,21.22031,21.13205,1
21.9697,21.69142,20.48382,19.68355,19.13384,2
20.64259,20.27517,19.89377,20.02014,19.79206,2
19.19855,17.43037,16.61152,16.23646,15.94856,0
23.2582,23.44628,22.19833,20.98371,19.79165,1
24.72273,21.72156,20.77064,20.65349,20.12381,1
23.1418,22.59732,20.9294,19.83544,19.27779,1
24.14613,22.55514,20.77473,19.64194,19.13934,1
19.83092,18.31305,17.44234,16.92427,16.57524,0
21.27105,20.49092,19.15423,18.32491,17.85321,2
20.24006,20.02289,20.02612,20.10016,19.78631,2
21.76834,21.43826,21.34555,21.31397,20.99832,1
25.82186,22.50375,20.9613,19.89514,19.32037,1
23.82646,22.99625,21.1438,20.1224,19.56613,1
21.84835,21.25768,21.25116,20.99355,20.66064,1
19.80368,18.14622,17.35781,16.97291,16.69154,0
24.46953,23.57676,21.76145,20.48442,19.83298,1
16.83933,14.84515,13.94891,13.54387,13.21965,0
23.06138,21.96833,21.3111,21.24302,20.77502,1
24.25116,21.12038,19.87167,19.28658,18.92614,2
22.08147,21.30982,21.2677,21.23047,21.31581,1
25.51146,22.42969,20.45604,19.56469,18.95803,1
24.25982,21.69476,20.33015,19.63521,19.3119,1
20.88032,18.77173,17.53442,17.02889,16.66557,0
19.44315,18.20788,17.88636,17.75108,17.65714,0
21.75096,21.63187,21.69342,21.30947,22.32776,1
20.78257,20.01308,19.70951,19.56458,19.49071,2
25.18074,22.73319,20.85277,19.90735,19.39352,1
19.44764,19.40862,19.16817,19.08561,19.13304,2
24.97303,22.15658,21.84679,20.82607,19.9513,1
18.77914,17.3768,16.80427,16.5725,16.4361,0
22.93665,21.203,20.48437,20.52276,20.64381,1
19.31783,17.78747,16.87749,16.44259,16.11057,0
18.97501,17.18287,16.21287,15.77102,15.43932,0
20.92337,20.41329,20.48032,20.37613,20.53102,2
22.53491,21.49057,19.77624,18.91436,18.54701,2
19.8323,18.82875,18.44882,18.31214,18.2386,0
19.67991,19.4501,19.09629,19.00566,19.25892,2
22.62562,20.12385,18.54434,17.98275,17.64375,2
23.22752,21.91473,20.16849,19.19248,18.70892,2
23.76951,21.52111,19.61848,18.99569,18.49142,2
19.81531,19.50595,19.14948,19.09711,19.17369,2
22.12592,21.41267,20.61991,19.68784,19.32837,2
22.05358,21.2648,21.25268,21.22219,20.87942,1
20.54739,18.6458,17.56155,17.11982,16.76582,0
21.81913,21.83942,21.21239,21.03558,20.65372,1
25.985,23.32019,21.64847,20.25004,19.38778,1
25.38703,24.38722,22.27254,20.89531,19.74339,1
21.595,21.72722,21.16597,21.21419,20.98688,1
21.42615,18.89484,17.57793,17.05157,16.76041,0
23.68127,23.16646,21.19357,20.07785,19.52831,1
20.92314,19.92859,19.24861,19.02549,19.06815,2
17.91012,16.34888,15.75906,15.5666,15.45228,0
17.56652,16.41265,16.04293,15.89676,15.85218,0
22.82764,22.57444,21.95667,21.85163,20.93629,1
22.26951,21.62838,21.26697,20.78659,21.2484,1
20.81399,19.29313,18.915,18.38823,18.22599,2
20.0263,18.2951,17.37795,16.9032,16.60767,0
25.35559,21.65808,20.28617,19.3424,18.8873,1
21.00211,19.55416,18.06853,17.48728,17.14038,0
22.38218,19.78546,17.95198,17.31614,16.8703,0
22.82127,20.8169,19.48069,18.79074,18.4193,2
23.81636,22.59339,20.86486,19.95808,19.4624,1
20.64977,19.46514,19.13896,18.98562,18.94582,2
26.37095,20.75589,19.0504,18.35404,18.00175,2
20.08887,17.9941,16.66736,16.16586,15.81946,0
25.38774,22.34309,20.90271,19.84001,19.31037,1
19.97863,18.76422,18.50598,18.44018,18.42776,2
17.56438,16.62799,16.33229,16.21969,16.22246,0
19.44984,17.82033,16.79356,16.31562,15.98905,0
21.27616,21.20626,21.24837,21.02192,20.66874,1
21.87056,21.07521,20.88239,20.71568,20.29021,1
19.78008,19.66846,19.58479,19.26606,19.26141,2
22.37118,21.58534,19.67904,18.97929,18.55941,2
22.42474,22.0107,20.95655,19.98654,19.62607,1
24.50298,22.25086,20.74178,19.74449,19.28026,1
20.12708,19.12896,18.87317,18.77915,18.67108,2
22.98964,19.58733,18.12811,17.5837,17.18911,2
25.39528,24.5106,21.65342,20.57076,19.83823,1
22.96335,22.11576,21.8255,21.86582,20.85547,1
20.51617,18.41533,17.39098,16.96747,16.59994,0
25.91108,22.13988,20.59801,19.77053,19.42073,1
22.47328,21.61928,21.40645,21.43521,20.63721,1
24.50301,22.14767,21.14663,20.08666,19.53575,1
21.5909,19.13193,17.71742,17.20454,16.79933,0
23.20207,23.76075,23.19597,21.89464,22.08176,1
19.4766,18.30113,17.8521,17.5747,17.37237,0
22.14355,21.70422,21.56193,21.22179,21.1895,1
23.64872,20.71044,19.0002,18.31813,18.01619,2
22.91695,21.48764,19.61313,18.81562,18.2973,2
19.9899,18.16171,17.16614,16.74204,16.3957,0
19.9136,19.39263,19.32924,19.40988,19.21961,2
24.93641,21.31271,19.56159,18.81323,18.49941,2
23.11339,21.7954,21.78593,21.98094,22.31307,1
24.09018,22.04068,20.31516,19.43632,18.91727,2
21.08337,20.39329,19.86329,19.79847,19.38593,2
19.93043,17.82941,16.94158,16.60403,16.38443,0
23.70889,20.8943,19.09264,18.4671,18.02704,2
23.31766,21.73356,20.24842,19.39367,18.82201,2
20.02888,19.84039,19.82261,19.6284,19.26164,2
19.82782,18.56769,17.65273,17.18796,16.90077,0
20.65012,18.61427,17.48382,17.00109,16.60073,0
24.77899,24.18664,21.88363,20.9181,19.98647,1
19.74466,17.77117,16.6759,16.18949,15.83901,0
21.02998,20.61106,20.11868,19.79278,19.81621,2
22.16301,21.2944,21.46146,21.42625,22.94837,1
21.53809,21.07209,20.89732,20.65542,20.55857,1
19.81319,19.63866,19.54064,19.30692,19.15115,2
24.68631,22.25233,20.36473,19.466,19.02059,1
19.67134,18.50247,17.08005,16.61428,16.46389,0
16.99801,16.44822,15.39443,15.25941,15.21474,0
24.88702,24.54541,23.65782,20.90981,19.39421,1
24.39813,22.93297,21.3686,20.30125,19.82005,1
21.32397,20.60055,20.55982,20.65513,20.43152,1
24.82299,21.91017,20.07367,19.16519,18.86999,2
18.18344,17.05501,16.58248,16.25809,16.07766,0
26.32242,22.09036,20.64907,19.56682,19.03738,1
20.57152,18.98199,18.41089,18.18254,18.0691,2
25.05489,23.0395,21.59506,21.18314,20.55538,1
23.48979,20.81527,18.94354,18.30039,17.82355,2
21.84382,21.71618,21.35178,21.09894,21.07391,1
21.92478,20.64815,20.67084,20.62687,20.64808,1
20.82594,20.34507,20.08918,19.70664,19.73963,2
21.86166,20.02429,19.23527,18.81887,18.5473,2
23.60887,21.61494,19.66468,18.92389,18.45696,2
21.33484,21.14217,20.98258,21.05602,21.14231,1
18.13557,16.6873,15.91866,15.45067,15.15675,0
19.61678,17.92025,17.03403,16.55615,16.19508,0
21.0969,21.02728,20.76655,20.82326,20.77557,1
20.6886,18.72216,17.61459,17.15202,16.78263,0
21.14275,20.26575,20.07685,19.99558,19.84567,2
23.69532,21.96447,20.66521,19.74797,19.32214,1
23.20871,22.11015,20.42044,19.46281,19.14769,2
21.0706,18.73108,17.51203,17.00287,16.62006,0
23.47745,23.31987,21.73588,20.54342,19.87383,1
24.1961,22.93134,22.70075,21.87334,22.15314,1
21.35845,18.91864,17.74928,17.23586,16.87059,0
19.5702,17.81307,16.89135,16.46716,16.13719,0
21.35868,20.72079,20.33615,19.95924,19.47872,2
20.13567,19.44825,18.89153,18.47108,18.49515,2
21.30218,20.72006,19.93746,19.65954,19.47169,2
21.03849,20.19729,19.89829,19.84145,19.89102,2
19.01833,17.25084,16.40399,15.98664,15.61978,0
21.7811,21.01935,20.45078,20.39384,20.20648,1
25.60515,20.99316,19.30249,18.47732,17.98868,2
20.42117,20.08625,19.95344,19.84243,20.1107,2
24.44543,20.76524,19.09095,18.45616,18.0566,2
20.67237,18.96114,17.73789,17.25128,16.87696,0
20.56343,20.09319,20.08944,20.09115,20.07828,2
18.80721,17.37586,16.80994,16.56489,16.40745,0
23.8571,22.06853,20.46133,19.57858,19.09761,1
19.88222,19.67099,19.39375,19.26177,19.16288,2
22.08108,22.55037,22.22578,22.67171,22.78636,1
25.56302,20.66417,20.28637,20.38723,20.35937,1
25.26382,20.90128,20.05509,19.73781,19.45927,1
23.28039,22.09381,20.85707,19.91283,19.4269,1
22.15303,21.36482,21.35316,21.35646,21.42334,1
22.7713,21.02843,19.27023,18.62991,18.20091,2
25.29146,21.69944,19.81624,18.89131,18.35998,2
23.58086,21.16756,20.15698,19.84908,20.70261,1
21.75661,21.2487,20.99174,20.90566,20.57608,1
23.97483,22.34412,20.80778,19.7641,19.35807,1
19.7253,18.70779,18.32572,18.21654,18.14727,0
22.41447,21.69698,21.53831,21.85639,21.19692,1
20.28772,18.12644,17.10688,16.65408,16.27443,0
19.02866,17.94788,17.54895,17.38304,17.3315,0
24.06536,23.08134,20.98022,19.45028,18.57027,1
21.55945,20.98409,20.24494,19.4428,19.49282,2
21.08184,20.64181,19.61912,18.75595,18.56605,2
19.37405,18.44452,17.77497,17.37957,17.22748,0
22.57621,21.71938,21.71462,21.53564,20.94759,1
22.53833,21.64411,20.6683,19.77926,19.29473,2
25.3373,21.24661,19.69049,18.91401,18.35668,2
20.19804,18.50633,17.38606,16.83348,16.40983,0
22.90068,21.67705,21.48512,21.49709,21.3215,1
21.99309,20.29512,19.28598,18.79115,18.50443,2
21.72697,21.66842,21.27727,21.38338,21.20453,1
25.55548,22.48999,20.76721,19.76045,19.2919,1
23.53631,23.85931,22.05004,20.92945,20.06358,1
19.54076,18.84451,18.90207,18.6508,18.62528,2
20.89405,18.76122,17.55766,17.09129,16.71386,0
20.17996,18.47683,17.73514,17.44241,17.29282,0
20.99476,19.91656,19.58703,19.32425,19.61378,2
22.49156,25.11438,24.80204,24.36181,19.93154,1
23.559,21.51034,19.91824,19.12914,18.71049,2
19.32302,18.00181,17.46681,17.15074,16.99956,0
25.42418,23.62462,21.87749,20.61704,19.83611,1
20.54898,17.88229,16.47087,15.63539,15.17475,0
18.30137,17.34235,16.96992,16.77662,16.7424,0
22.02974,23.59992,21.81188,20.79341,19.74779,1
24.94777,20.19117,18.41232,17.84185,17.50491,2
20.3316,17.74801,16.57734,16.10465,15.85672,0
23.54488,22.41741,22.18836,21.902,20.65401,1
22.30522,20.48135,18.63238,18.00195,17.64402,2
21.98742,21.39132,21.15033,20.96278,20.50549,1
20.71381,18.41273,17.09336,16.59126,16.26975,0
24.47819,20.71881,18.99557,18.33931,17.94152,2
25.48036,22.18667,20.35209,19.50569,19.02483,1
25.14936,22.43579,20.84399,19.67122,19.3786,1
23.5998,22.00209,20.3242,19.47822,19.00286,2
25.29341,22.95588,20.76037,19.68831,19.11388,1
19.06388,17.05416,15.98841,15.52476,15.17196,0
19.29735,17.8181,17.18018,16.77922,16.51185,0
19.31503,17.60998,16.71153,16.3137,16.02848,0
17.90441,16.9434,16.55692,16.40636,16.31517,0
25.54414,21.14786,19.53445,18.66679,18.60337,2
19.28265,18.22354,17.71622,17.50587,17.44004,0
20.15932,18.07141,16.92175,16.39711,15.97999,0
21.17494,19.28273,17.87877,17.30776,16.93456,0
19.75842,17.79732,16.78261,16.35853,15.9995,0
21.89389,22.0648,22.02324,21.48672,22.16522,1
23.37322,24.05138,21.89427,20.75238,19.76781,1
19.65585,17.83227,17.04149,16.71577,16.51256,0
25.66351,23.37783,21.57455,20.4754,19.79281,1
22.60848,21.63935,21.4852,21.05799,20.9865,1
20.55916,18.15737,17.05231,16.6743,16.45316,0
21.09241,19.73067,19.18655,18.80536,18.64377,2
20.52666,20.14727,20.0175,19.8513,19.64552,2
19.0069,17.26982,16.31834,15.83344,15.48008,0
19.04514,17.811,17.39443,17.16967,17.019,0
18.03341,16.22829,15.38035,14.97223,14.6537,0
23.09904,21.9704,20.36191,19.22931,18.67792,2
19.94372,19.74812,19.43031,19.19898,19.08165,2
21.35734,21.10055,21.17991,21.02418,20.7296,1
20.76855,20.48979,20.29566,20.22455,20.2632,2
23.07936,21.25815,19.3984,18.75966,18.30035,2
19.94292,19.55161,19.58386,19.54008,19.4236,2
24.68286,22.02566,20.55228,19.62323,19.38268,1
21.31694,20.51405,20.20292,20.15393,19.97608,2
24.43046,22.30673,20.98779,19.81486,19.27915,1
19.73015,18.95074,18.92425,18.86103,18.55464,2
18.86626,17.55374,17.02763,16.83191,16.71379,0
20.31903,19.99785,19.73455,19.53174,19.35764,2
19.22915,17.66973,16.90619,16.49684,16.23351,0
26.55876,22.10194,20.54546,19.56141,19.33299,1
22.56192,20.77126,20.19201,19.92527,19.73635,2
22.23744,20.55471,18.9076,18.13438,17.82976,2
24.54847,23.37946,21.37952,19.98957,19.54986,1
23.35115,22.44501,22.22264,21.84014,21.65524,1
22.15001,21.8722,21.17896,20.63136,20.5115,1
22.13719,20.56012,20.282,20.14669,19.98829,2
25.3393,23.55832,21.90775,20.48453,19.64362,1
20.98408,20.1183,20.02123,20.05142,20.13381,2
24.33619,21.34894,20.72186,20.56548,20.34484,1
24.19463,23.7045,21.30929,20.00866,19.55846,1
19.50594,17.82333,17.00352,16.52608,16.21055,0
25.26177,22.25057,20.59978,19.53228,19.18114,1
23.64627,24.2693,22.04325,20.51403,19.84555,1
24.82018,22.59271,21.99583,21.32383,21.36116,1
21.59157,20.7422,20.55228,20.25233,19.61612,2
23.65094,23.35423,21.08072,20.43873,19.62222,1
22.15558,21.46438,21.37392,21.39055,22.30325,1
20.41175,18.57803,17.6399,17.21635,16.86999,0
19.76826,18.56806,18.1517,18.0053,17.94954,0
19.24163,17.56651,16.63568,16.19748,15.87807,0
19.16943,17.88156,17.3375,17.14949,17.03622,0
24.04724,20.86718,19.47595,18.67282,18.18229,2
18.99196,17.23059,16.32973,15.9208,15.61646,0
27.98323,23.77569,20.90624,19.72664,19.25891,1
19.45809,18.1504,17.6141,17.39476,17.3039,0
20.6468,20.90846,20.48356,20.57168,20.47457,1
15.76585,14.288,13.47534,13.02648,12.64552,0
22.63084,22.76532,21.92632,21.44201,20.70095,1
19.74659,17.78625,16.75331,16.27345,15.89315,0
22.40523,22.22295,21.93344,21.80526,21.61434,1
23.79513,22.14009,20.56995,19.54534,19.11352,1
23.4877,22.72422,21.27936,20.01847,19.32582,1
25.63216,21.70988,20.32254,19.52877,19.11904,1
22.18999,21.95024,21.62597,21.41973,21.06248,1
20.06379,18.19239,17.0542,16.57743,16.19891,0
19.68873,17.93453,17.01994,16.54218,16.16429,0
22.4274,21.97777,21.93207,21.51837,21.16966,1
22.05752,21.18133,20.70905,20.59718,20.48731,1
21.11096,18.7524,17.45459,16.93087,16.52892,0
23.11089,21.50611,19.95484,18.87848,18.29465,2
25.57601,22.62399,21.07502,20.01311,19.43783,1
24.96785,22.35367,20.65281,19.65103,19.20099,1
19.29302,17.91843,17.22045,16.82889,16.57793,0
16.79734,15.53674,15.09986,14.96818,14.91844,0
20.44622,18.81517,17.90743,17.42843,17.13155,0
18.07213,16.97511,16.57486,16.29014,16.14786,0
22.9538,22.8622,22.68517,22.2249,22.18831,1
24.11399,20.48955,19.99631,19.74143,19.51503,2
25.81101,22.13651,20.43919,19.60716,19.1782,1
18.76147,16.80314,15.84066,15.4052,15.05621,0
23.82679,22.12665,20.53302,19.62831,19.22166,1
23.41644,23.05205,22.15027,21.36819,21.17727,1
18.30914,16.85575,16.27689,16.07914,16.00111,0
22.35066,21.5101,20.31165,19.52865,19.25131,2
23.42762,21.42771,20.32063,19.46393,19.16429,2
22.28215,21.45528,19.66068,18.80602,18.43383,2
20.58722,19.04475,18.44959,18.19798,18.09296,2
19.86574,19.71989,19.4697,19.43253,19.38812,2
21.3211,19.53237,18.16528,17.61293,17.29582,0
23.69849,22.36542,20.52482,19.43437,18.70438,1
23.86546,21.61658,21.35767,21.42148,21.44331,1
20.64145,18.71103,17.65282,17.18983,16.82658,0
25.82836,24.02204,21.00795,19.55193,18.5977,1
21.62486,21.7085,20.87569,20.11917,19.88645,1
18.52128,16.60702,15.66889,15.21901,14.84213,0
24.44456,23.63401,22.0942,20.80484,19.82078,1
24.42289,21.74698,19.98895,19.08693,18.64704,2
23.95233,22.83672,22.11296,22.06737,21.05218,1
21.5509,20.63121,20.51154,20.4092,20.07186,2
19.84408,18.90276,18.53817,18.40655,18.29732,2
20.62247,19.49411,19.10545,18.85303,18.44355,2
23.40635,21.33001,19.43849,18.64819,18.17234,2
20.02619,20.03073,19.726,19.62332,19.77058,2
22.02044,22.22353,21.99912,21.6608,22.05749,1
19.79908,18.68472,18.42124,18.30795,18.25856,0
19.8685,18.46872,17.6725,17.26392,17.04521,0
24.98282,23.70699,22.9422,21.87235,21.44976,1
23.50961,23.22155,21.88675,20.37911,19.48474,1
18.12496,17.20585,16.93817,16.83968,16.82023,0
20.22107,19.49033,18.86874,18.65119,18.46111,2
21.90162,19.65853,18.33429,17.83014,17.5186,2
24.44402,22.97488,20.96062,19.89224,19.45808,1
24.61618,22.97772,20.99482,19.99766,19.38284,1
23.62112,21.07682,19.23371,18.62715,18.20178,2
21.03762,19.57932,18.14738,17.61242,17.26756,0
26.59857,24.78303,22.32547,21.06036,19.92625,1
21.01095,20.60062,20.37179,20.08543,19.9525,2
20.15278,20.05734,20.06995,19.75543,19.86309,2
20.97176,20.77536,20.71241,20.61046,20.38083,1
18.27582,16.36335,15.34169,14.90432,14.54059,0
18.16339,16.10069,15.19814,14.77102,14.46819,0
21.47181,21.44885,20.96982,21.02572,21.22021,1
20.85898,20.56134,20.22853,20.05247,19.77125,2
22.80297,21.87646,20.93393,19.80296,19.48787,1
23.16859,21.77017,20.38181,19.42031,18.92414,2
18.64615,18.58158,18.3145,18.25092,18.22888,0
18.91647,16.9451,16.05118,15.60236,15.25753,0
22.85978,22.45691,20.73132,19.75926,19.24027,1
22.55862,21.89514,21.58157,21.13513,20.57099,1
20.31804,20.15442,19.97356,19.63363,19.72974,2
20.0846,17.49187,16.30684,15.83605,15.57501,0
25.74677,22.0525,20.38472,19.52448,19.32738,1
24.42832,23.18394,21.64549,20.4958,19.84434,1
22.79244,20.55038,19.73864,19.39228,19.29115,2
21.73999,21.85722,20.8045,19.77858,19.49376,2
24.38503,24.66551,22.35443,20.72149,19.7092,1
22.9139,21.91209,20.54827,19.87743,19.37568,1
22.73204,22.57828,22.23888,21.99561,22.588,1
24.63465,21.28918,19.96323,19.46734,20.18346,1
23.16245,22.92633,22.47042,21.76428,21.40201,1
25.26059,22.86624,21.86916,20.94521,20.09206,1
24.65778,22.12554,20.1579,19.32137,18.83349,2
15.82535,14.72135,14.23561,13.91202,13.69412,0
23.70699,19.51421,18.07008,17.56427,17.19742,2
19.91452,19.01489,18.65721,18.49827,18.49189,2
23.02586,20.51286,18.73727,18.04639,17.59884,2
22.74271,21.53985,20.54454,20.37749,19.96403,1
19.71533,17.74096,16.7518,16.27348,15.90202,0
24.87754,20.89534,19.11327,18.4636,18.11015,2
26.92688,22.26978,20.99883,19.73343,18.94266,1
16.68247,15.36907,14.64433,14.28516,13.94987,0
22.27748,22.01127,21.90004,21.57013,21.80214,1
19.37422,18.10472,17.36774,16.94455,16.66725,0
24.61688,24.09369,21.71282,20.67152,19.87728,1
21.18409,20.98904,20.70135,20.53525,20.01994,1
23.17193,22.02151,20.3422,19.52815,18.87307,2
24.32445,22.49051,20.84273,19.82508,19.3029,1
22.45789,21.63892,21.17326,20.60605,20.60603,1
23.80241,21.96304,20.76388,19.70201,19.23545,1
25.69713,23.8602,21.60363,20.47311,19.91161,1
20.52521,19.28236,19.26014,19.31128,19.42743,2
25.00913,22.55507,20.79125,19.5015,19.0512,1
18.39961,17.16323,16.67046,16.49274,16.42626,0
25.27345,21.62474,20.0022,19.13997,18.60569,2
22.87543,22.26201,21.81657,21.15063,20.41379,1
23.00874,21.20974,19.32664,18.55962,17.97169,2
21.14394,19.50702,18.0,17.42405,17.03035,0
19.30717,17.69565,17.07962,16.82939,16.70532,0
18.15799,17.9809,18.00054,17.79289,17.86704,0
26.94761,23.44255,21.86592,20.66075,19.89074,1
20.34486,18.49861,17.54856,17.08065,16.74703,0
21.31932,21.14929,21.1755,20.75228,20.05087,1
21.89976,22.58686,21.7098,21.13553,20.10312,1
22.06607,21.39784,19.58712,18.83506,18.39349,2
24.90502,21.70948,20.28176,19.33595,18.85591,2
18.79853,17.37996,16.75191,16.32146,16.10286,0
20.34359,19.08515,18.57671,18.54102,18.34108,2
22.91869,22.71973,22.20573,21.22289,20.96543,1
22.57865,21.40691,21.1819,21.23345,20.92314,1
21.82171,21.90957,20.60962,19.6482,19.08391,2
23.05403,21.66946,20.05844,19.12083,18.65699,2
18.5915,17.18584,16.43056,16.04625,15.63437,0
18.96404,18.01567,17.71204,17.59042,17.56844,0
21.60928,20.86883,20.69449,20.61227,20.19844,1
25.08901,23.4287,21.86703,20.88614,20.11774,1
20.62201,19.52623,19.05624,18.82126,18.71173,2
24.06157,22.18484,20.37796,19.52374,19.16535,1
